project_id,name,path,classification,hw_score
68855994,FMC DAC 600M 12b 1cha DDS,ohwr/project/fmc-dac-600m-12b-1cha-dds,hardware,0
68855953,FMC DIO 32ch TTL a,ohwr/project/fmc-dio-32chttla,hardware,0
68855934,FMC DAC 130M 12b 4ch 4SFP,ohwr/project/fmc-dac-130m-12b-4ch-4sfp,ambiguous,17
68855882,Stand-alone 18-slot FMC carrier,ohwr/project/sac-18-fmc,hardware,28
68855859,VME ADC 250k 16b 36cha,ohwr/project/vme-adc-250k-16b-36cha,not_hardware,0
68855822,FMC ADC 125M 14b 1ch DAC 600M 14b 1ch - Software,ohwr/project/fmc-adc125m14b1ch-dac600m14b1ch-sw,not_hardware,0
68855792,FMC ADC 130M 16B 4CH - Software,ohwr/project/fmc-adc-130m-16b-4cha-sw,not_hardware,0
68855772,FMC DIO 32CH TTL A - Software,ohwr/project/fmc-dio-32chttla-sw,not_hardware,0
68855754,FMC ADC 250M 16B 4CH - Software,ohwr/project/fmc-adc-250m-16b-4cha-sw,not_hardware,0
68855721,CERN ELMB,ohwr/project/cern-elmb,hardware,23
68855700,USB Relay Box 1,ohwr/project/usb-relay-box1,hardware,0
68855666,Distributed Direct Digital Synthesis over White Rabbit D3S,ohwr/project/wr-d3s,not_hardware,0
68855645,AMC CPU COM6,ohwr/project/amc-cpu-com6,hardware,0
68855627,FMC HV SUP,ohwr/project/fmc-hv-sup,not_hardware,0
68855612,VIDEO Processing Platform MIXXEO,ohwr/project/video-fpga-hdmi-dvi-ethernet,hardware,0
68855592,Programmable RF Attenuator in VME,ohwr/project/vme-rf-att-4cha,not hardware,10
68855572,CROME,ohwr/project/crome,ambiguous,15
68855540,CROME FMC Carrier,ohwr/project/crome-fmc-carrier,not hardware,10
68855522,Conv TTL Blocking - Gateware,ohwr/project/conv-ttl-blo-gw,not_hardware,0
68855492,uTCA RTM 8 SFP,ohwr/project/utca-rtm-8-sfp,hardware,0
68855463,E-bone SoC interconnection and cores,ohwr/project/e-bone,not hardware,2
68855441,legacy-vme64x-core,ohwr/project/legacy-vme64x-core,not_hardware,0
68855405,SPEC box 1 Node,ohwr/project/spec-box-1n,not hardware,2
68855382,SPEC Box 3 Nodes Rack 19,ohwr/project/spec-box-3n,not hardware,3
68855354,AMC uBackplane SFP,ohwr/project/amc-ubackplane-sfp,hardware,0
68855340,Image processing core library,ohwr/project/img-proc-core-lib,not_hardware,0
68855319,Stereo disparity cores,ohwr/project/stereo-disparity-cores,not hardware,7
68855281,Optical flow cores,ohwr/project/optical-flow-cores,not hardware,10
68855244,Local descriptor cores,ohwr/project/local-descriptor-cores,not hardware,7
68855216,FMC DTX 4CHA,ohwr/project/fmc-dtx-4cha,hardware,37
68855199,FMC DTRX 4CHA,ohwr/project/fmc-dtrx-4cha,hardware,35
68855178,Getting Started with the SPEC,ohwr/project/spec-getting-started,hardware,0
68855140,xTCA Projects,ohwr/project/xtca-projects,empty_respository,0
68855103,Attention,ohwr/project/attention,not hardware,8
68855075,Compact Universal Timing Endpoint Based on White Rabbit with Dual Ports Cute-WR-DP,ohwr/project/cute-wr-dp,hardware,0
68855042,AMC FMC Carrier Kintex AFCK,ohwr/project/afck,hardware,0
68855013,Production Test Suite - base,ohwr/project/pts-base,not_hardware,0
68854987,FMC ADC 100M 14b 4cha - Hardware,ohwr/project/fmc-adc-100m14b4cha-hw,not_hardware,0
68854966,FMC ADC 100M 14b 4cha - Gateware,ohwr/project/fmc-adc-100m14b4cha-gw,not_hardware,0
68854920,FMC ADC 100M 14b 4cha - Testing,ohwr/project/fmc-adc-100m14b4cha-tst,not_hardware,0
68854888,evo,ohwr/project/evo,hardware,0
